scenario,peak_error_mm,rms_error_mm,time_over_10mm_s,max_beam_angle_deg,final_error_mm
baseline,4.000024250417046,0.47626395870020594,0.0,2.255140894016227,-0.7397839679474261
stress,4.000069085877967,0.6549457579234756,0.0,2.519478504407095,-1.2034036396143728
