level,trial_count,pass_count,pass_rate,p95_peak_error_mm,worst_peak_error_mm,worst_rms_error_mm,first_failed_trial
0.0,12,12,1.0,3.7722796464110986,3.865723437066841,0.43442471397306387,
1.0,12,12,1.0,3.8094662722473265,3.8547922020318888,0.7123200169119291,
2.0,12,12,1.0,5.571204624860712,6.482073953805517,1.255785015601463,
3.0,12,10,0.8333333333333334,19.616135575582117,30.84815994079391,4.679689730038908,2
4.0,12,2,0.16666666666666666,19.293306265189415,19.92062435021918,4.770231061323217,0
5.0,12,0,0.0,73.43320107448437,120.0,51.20277698682382,0
